pin14,year,month,price,class,sqftl,age,sqftb,rooms,bedrooms,basement,aircond,fireplace,attic,bathrooms,garage1,garage2,longitude,latitude,brick
13022040330000,2016,7,310000,203,3720,52,1096,4,2,0,0,0,0,1,0,0,-87.7168930385273,41.9943307559185,0
13024030410000,2001,7,410000,205,7500,63,2014,9,4,0,0,0,0,2,1,0,-87.714819,41.989213,0
13024030410000,2013,12,465000,205,7500,63,2014,9,4,0,0,0,0,2,1,0,-87.714819,41.989213,0
13024150470000,2003,5,355000,203,5000,49,1512,6,4,1,1,0,0,2.5,0,1,-87.7107376023823,41.9881882967292,1
13024270100000,1991,6,132000,203,5625,78,1622,7,3,1,0,0,1,1.5,0,1,-87.7170955255745,41.983747778666,1
13024270100000,2001,8,250000,203,5625,78,1622,7,3,1,0,0,1,1.5,0,1,-87.7170955255745,41.983747778666,1
13024270100000,2005,3,455000,203,5625,78,1622,7,3,1,0,0,1,1.5,0,1,-87.7170955255745,41.983747778666,1
13032150090000,2016,11,435000,203,4092,52,1574,7,3,1,0,0,1,1,0,0,-87.7309665,41.9944715,1
13032170170000,1997,4,214000,203,6250,53,1266,6,3,1,1,0,0,1.5,1,0,-87.7382445,41.9930665,1
13032170170000,2002,2,350000,203,6250,53,1266,6,3,1,1,0,0,1.5,1,0,-87.7382445,41.9930665,1
13033030260000,2003,5,475000,205,4387,64,2128,7,4,1,1,1,1,2,0,1,-87.7454763333333,41.9876336666667,1
13033161370000,1997,6,250000,278,6426,47,2018,6,3,0,0,0,0,1.5,1,0,-87.7441524520644,41.9838451415909,1
13033161370000,2003,9,479000,278,6426,47,2018,6,3,0,0,0,0,1.5,1,0,-87.7441524520644,41.9838451415909,1
13033250640000,1993,6,170000,204,7573,51,2063,6,3,1,1,1,1,1.5,1,0,-87.7416118392984,41.9831819744708,1
13033250640000,1998,3,237500,204,7573,51,2063,6,3,1,1,1,1,1.5,1,0,-87.7416118392984,41.9831819744708,1
13033260020000,1998,6,251000,207,4130,61,1290,4,2,1,1,1,0,1.5,1,0,-87.7404682556924,41.9842390185901,1
13033260020000,2002,8,340000,207,4130,61,1290,4,2,1,1,1,0,1.5,1,0,-87.7404682556924,41.9842390185901,1
13034031720000,1999,9,332000,295,3251,13,2349,7,3,1,1,1,0,2.5,0,1,-87.7362062729511,41.9880234887303,1
13034080090000,2016,6,310000,211,4125,80,1840,7,4,1,0,0,0,2,0,1,-87.7300470774477,41.9845232545058,0
13034110170000,1990,3,107500,211,4125,80,1748,8,5,0,0,0,1,2,0,0,-87.731255,41.9840375,0
13034110170000,1994,7,113000,211,4125,80,1748,8,5,0,0,0,1,2,0,0,-87.731255,41.9840375,0
13034120220000,1990,4,117500,203,3750,81,1710,7,4,1,1,0,1,1,0,0,-87.7300232444671,41.983602485189,0
13042130110000,1990,3,185000,204,4375,58,1952,8,4,1,0,1,1,2,0,1,-87.755496172018,41.992818444156,1
13042130110000,2011,8,355000,204,4375,58,1952,8,4,1,0,1,1,2,0,1,-87.755496172018,41.992818444156,1
13042190450000,1992,6,181500,207,6250,62,1213,5,3,1,0,1,0,1,1,0,-87.7528769519551,41.9935145712711,1
13042190450000,2012,8,402500,207,6250,62,1213,5,3,1,0,1,0,1,1,0,-87.7528769519551,41.9935145712711,1
13042230630000,2002,12,250000,203,5625,53,1183,5,3,1,1,1,0,1.5,1,0,-87.7528742402125,41.9917906123873,1
13042280870000,2001,8,186000,295,1298,49,1140,5,3,1,1,0,0,1.5,1,0,-87.7486541349826,41.9947170180829,1
13043030480000,2010,8,245000,203,8715,49,1037,5,3,1,0,0,1,2,1,0,-87.7668949480694,41.9879828666636,1
13051060230000,2010,9,232000,202,3000,48,910,4,2,1,1,0,1,1.5,0,1,-87.7872161832828,41.9950383431202,1
13052040170000,1993,3,450000,206,12059,105,4950,9,4,1,1,1,1,3.5,0,1,-87.7706138284029,41.9949372843272,0
13052080060000,1993,8,187000,203,3750,77,1575,5,2,1,0,0,1,1,1,0,-87.7775080353741,41.9924182483038,1
13052080060000,1996,7,222000,203,3750,77,1575,5,2,1,0,0,1,1,1,0,-87.7775080353741,41.9924182483038,1
13053000050000,1999,4,143000,202,3250,46,972,4,2,0,0,0,0,1,1,0,-87.7870462550414,41.9898662992491,0
13053000050000,2006,4,356500,202,3250,46,972,4,2,0,0,0,0,1,1,0,-87.7870462550414,41.9898662992491,0
13053120210000,2016,1,420000,211,3384,48,2667,7,4,0,0,0,0,2,0,0,-87.7836795152821,41.9866557628709,0
13053140200000,1998,4,172000,203,6153,52,1708,4,2,0,0,0,0,1,0,0,-87.778129358921,41.9891706501396,1
13053140200000,2003,7,354900,203,6153,52,1708,4,2,0,0,0,0,1,0,0,-87.778129358921,41.9891706501396,1
13053140200000,2016,5,358000,203,6153,52,1708,4,2,0,0,0,0,1,0,0,-87.778129358921,41.9891706501396,1
13053220250000,1995,1,249000,211,3720,76,2909,12,5,1,0,0,0,3,0,1,-87.7807477482424,41.9860899849729,1
13054060290000,1995,5,140000,203,4094,80,1376,6,4,1,0,0,1,1,0,1,-87.775457,41.9877545,0
13054060290000,1997,10,176000,203,4094,80,1376,6,4,1,0,0,1,1,0,1,-87.775457,41.9877545,0
13054060290000,2001,7,238000,203,4094,80,1376,6,4,1,0,0,1,1,0,1,-87.775457,41.9877545,0
13054060290000,2006,2,365000,203,4094,80,1376,6,4,1,0,0,1,1,0,1,-87.775457,41.9877545,0
13054130390000,1993,6,131500,203,3750,77,1540,7,4,1,1,1,1,2,0,1,-87.7704955,41.987562,0
13054150030000,1994,7,125000,203,3750,78,1344,5,3,0,0,0,1,1,1,0,-87.7698480785631,41.9865899196974,0
13054150030000,1998,6,150500,203,3750,78,1344,5,3,0,0,0,1,1,1,0,-87.7698480785631,41.9865899196974,0
13054200190000,2013,7,216900,203,4140,79,1344,6,4,1,0,0,1,2,0,1,-87.7749812806905,41.9844374454459,0
13054200280000,2014,8,264000,212,2600,39,3278,7,4,0,1,0,1,1,0,0,-87.7747231923359,41.9838404205188,1
13054230040000,1995,12,139000,202,3125,43,832,4,2,0,0,0,0,1,0,0,-87.7715435488448,41.986359208454,0
13054230040000,2000,3,185000,202,3125,43,832,4,2,0,0,0,0,1,0,0,-87.7715435488448,41.986359208454,0
